"region","value","hover","code"
"ALABAMA",68,"ALABAMA <br> Frequency of Tornado: <br>","AL"
"ARIZONA",3,"ARIZONA <br> Frequency of Tornado: <br>","AZ"
"ARKANSAS",41,"ARKANSAS <br> Frequency of Tornado: <br>","AR"
"CALIFORNIA",3,"CALIFORNIA <br> Frequency of Tornado: <br>","CA"
"COLORADO",19,"COLORADO <br> Frequency of Tornado: <br>","CO"
"DELAWARE",1,"DELAWARE <br> Frequency of Tornado: <br>","DE"
"FLORIDA",57,"FLORIDA <br> Frequency of Tornado: <br>","FL"
"GEORGIA",147,"GEORGIA <br> Frequency of Tornado: <br>","GA"
"IDAHO",1,"IDAHO <br> Frequency of Tornado: <br>","ID"
"ILLINOIS",59,"ILLINOIS <br> Frequency of Tornado: <br>","IL"
"INDIANA",37,"INDIANA <br> Frequency of Tornado: <br>","IN"
"IOWA",68,"IOWA <br> Frequency of Tornado: <br>","IA"
"KANSAS",63,"KANSAS <br> Frequency of Tornado: <br>","KS"
"KENTUCKY",29,"KENTUCKY <br> Frequency of Tornado: <br>","KY"
"LOUISIANA",97,"LOUISIANA <br> Frequency of Tornado: <br>","LA"
"MAINE",7,"MAINE <br> Frequency of Tornado: <br>","ME"
"MARYLAND",4,"MARYLAND <br> Frequency of Tornado: <br>","MD"
"MASSACHUSETTS",2,"MASSACHUSETTS <br> Frequency of Tornado: <br>","MA"
"MICHIGAN",10,"MICHIGAN <br> Frequency of Tornado: <br>","MI"
"MINNESOTA",71,"MINNESOTA <br> Frequency of Tornado: <br>","MN"
"MISSISSIPPI",86,"MISSISSIPPI <br> Frequency of Tornado: <br>","MS"
"MISSOURI",91,"MISSOURI <br> Frequency of Tornado: <br>","MO"
"MONTANA",1,"MONTANA <br> Frequency of Tornado: <br>","MT"
"NEBRASKA",35,"NEBRASKA <br> Frequency of Tornado: <br>","NE"
"NEVADA",2,"NEVADA <br> Frequency of Tornado: <br>","NV"
"NEW JERSEY",2,"NEW JERSEY <br> Frequency of Tornado: <br>","NJ"
"NEW MEXICO",13,"NEW MEXICO <br> Frequency of Tornado: <br>","NM"
"NEW YORK",12,"NEW YORK <br> Frequency of Tornado: <br>","NY"
"NORTH CAROLINA",41,"NORTH CAROLINA <br> Frequency of Tornado: <br>","NC"
"NORTH DAKOTA",33,"NORTH DAKOTA <br> Frequency of Tornado: <br>","ND"
"OHIO",44,"OHIO <br> Frequency of Tornado: <br>","OH"
"OKLAHOMA",97,"OKLAHOMA <br> Frequency of Tornado: <br>","OK"
"OREGON",3,"OREGON <br> Frequency of Tornado: <br>","OR"
"PENNSYLVANIA",29,"PENNSYLVANIA <br> Frequency of Tornado: <br>","PA"
"SOUTH CAROLINA",49,"SOUTH CAROLINA <br> Frequency of Tornado: <br>","SC"
"SOUTH DAKOTA",15,"SOUTH DAKOTA <br> Frequency of Tornado: <br>","SD"
"TENNESSEE",40,"TENNESSEE <br> Frequency of Tornado: <br>","TN"
"TEXAS",186,"TEXAS <br> Frequency of Tornado: <br>","TX"
"UTAH",2,"UTAH <br> Frequency of Tornado: <br>","UT"
"VIRGINIA",31,"VIRGINIA <br> Frequency of Tornado: <br>","VA"
"WASHINGTON",2,"WASHINGTON <br> Frequency of Tornado: <br>","WA"
"WEST VIRGINIA",4,"WEST VIRGINIA <br> Frequency of Tornado: <br>","WV"
"WISCONSIN",28,"WISCONSIN <br> Frequency of Tornado: <br>","WI"
"WYOMING",11,"WYOMING <br> Frequency of Tornado: <br>","WY"
